riotIdGameName,championName,teamId,kills,deaths,assists,damagePerMinute,teamDamagePercentage,killParticipation
beyond limits,Jax,100,2,5,0,532.6829772114485,0.18225838183935666,0.16666666666666666
Insightful,Karthus,100,1,9,3,731.1059097754322,0.2501491239055821,0.3333333333333333
Mazs,Ambessa,100,3,1,2,499.50195174743186,0.17090543784159573,0.4166666666666667
Rayito,Smolder,100,5,9,0,935.4248782239426,0.32005720462453874,0.4166666666666667
Karlos,Soraka,100,1,9,5,223.96455615509615,0.07662985178892677,0.5
T1 CharlesZhang,Fiora,200,4,0,5,830.9608866080081,0.21831141478243146,0.2727272727272727
döneklany,Naafiri,200,8,3,10,602.2175229623125,0.15821558097799263,0.5454545454545454
silksong,Leblanc,200,11,2,1,723.4692256018062,0.19007102829761313,0.36363636363636365
B O O S H I,Varus,200,6,3,11,999.0451515661516,0.2624707901237494,0.5151515151515151
bald man,Bard,200,4,4,16,650.6170548068436,0.17093118581821337,0.6060606060606061
